GENESIS-Tabelle: 23211-0002
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht;;;;
Todesursachenstatistik;;;;
Deutschland;;;;
Gestorbene (Anzahl);;;;
;;Geschlecht;Geschlecht;Geschlecht
2010;Plötzlicher Kindstod;103;61;164
2010;Sonst. ungenau bezeichnete u. unbek. Todesursachen;10832;6884;17716
2010;Äußere Ursachen von Morbidität und Mortalität;20187;13125;33312
2010;Unfälle einschließlich Spätfolgen;10987;9303;20290
2010;Transportmittelunfälle;2882;1060;3942
2010;Stürze;4347;5132;9479
2010;Ertrinken und Untergehen;282;111;393
2010;Exposition gegenüber Rauch, Feuer und Flammen;226;147;373
2010;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);499;179;678
2010;Vorsätzliche Selbstbeschädigung;7465;2556;10021
2010;Tätlicher Angriff;238;240;478
2010;Ereignis, dessen nähere Umstände unbestimmt sind;1462;1006;2468
2010;Insgesamt;409022;449746;858768
2011;Bestimmte infektiöse und parasitäre Krankheiten;7550;9133;16683
2011;Tuberkulose einschließlich ihrer Folgezustände;188;154;342
2011;Meningokokkeninfektion;12;13;25
2011;Virushepatitis;496;472;968
2011;HIV-Krankheit;378;85;463
2011;Neubildungen;122799;105421;228220
2011;Bösartige Neubildungen (BN);119755;101836;221591
2011;BN der Lippe, der Mundhöhle und des Pharynx;4064;1322;5386
2011;BN des Ösophagus;3966;1172;5138
2011;BN des Magens;5691;4399;10090
2011;BN des Dickdarms;8630;8663;17293
2011;BN des Rektums, des Anus und am Rektosigmoid;4891;3479;8370
2011;BN der Leber, der Gallenwege und des Pankreas;14244;12828;27072
2011;BN der Leber und der intrahepatischen Gallengänge;5011;2551;7562
2011;BN des Pankreas;7812;8128;15940
2011;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;30986;14503;45489
2011;BN der Bronchien und der Lunge;29627;14281;43908
2011;Melanom und sonstige bösartige Neubild. der Haut;2096;1502;3598
2011;Bösartiges Melanom der Haut;1709;1212;2921
2011;BN der Brustdrüse;159;17815;17974
2011;BN der Genital- und Harnorgane;22886;16128;39014
2011;BN der Cervix uteri;-;1626;1626
2011;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2442;2442
2011;BN des Ovars;-;5837;5837
2011;BN der Prostata;13324;-;13324
2011;BN der Niere, ausgenommen Nierenbecken;3223;2104;5327
2011;BN der Harnblase;4046;1891;5937
2011;BN d. lymphat., blutbild. u. verwandten Gewebes;9523;8654;18177
2011;Leukämie;4083;3535;7618
2011;Gutartige Neubildungen;225;357;582
2011;Krankheiten des Blutes u. der blutbildenden Organe;1066;1617;2683
2011;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;12387;17435;29822
2011;Diabetes mellitus;9915;13637;23552
2011;Psychische und Verhaltensstörungen;10996;16117;27113
2011;Psychische und Verhaltensstörungen durch Alkohol;3797;1130;4927
2011;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;578;143;721
2011;Krankheiten d. Nervensystems u. d. Sinnesorgane;10758;11973;22731
2011;Meningitis;78;88;166
2011;Krankheiten des Kreislaufsystems;145555;196678;342233
2011;Hypertonie (Hochdruckkrankheit);9979;23596;33575
2011;Ischämische Herzkrankheiten;64811;62290;127101
2011;Akuter oder rezidivierender Myokardinfarkt;30730;24556;55286
2011;Sonstige Formen der Herzkrankheit;29325;48900;78225
2011;Sonstige Krankheiten des Endokards;4466;7114;11580
2011;Zerebrovaskuläre Krankheiten;23041;36025;59066
2011;Schlaganfall, nicht als Blutung oder Infarkt bez.;7717;13877;21594
2011;Krankheiten der Arterien, Arteriolen und Kapillare;8478;10384;18862
2011;Krankheiten des Atmungssystems;32031;27988;60019
2011;Grippe;136;89;225
2011;Pneumonie;9357;9980;19337
2011;Chronische Krankheiten der unteren Atemwege;16429;12506;28935
2011;Asthma;481;694;1175
2011;COVID-19, Virus nachgewiesen;-;-;-
2011;COVID-19, Virus nicht nachgewiesen;-;-;-
2011;Krankheiten des Verdauungssystems;20548;19959;40507
2011;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1195;1641;2836
2011;Krankheiten der Leber;9917;5257;15174
2011;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;9409;4689;14098
2011;Krankheiten der Haut und der Unterhaut;381;780;1161
2011;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;1037;2019;3056
2011;Chronische Polyarthritis und Arthrose;225;565;790
2011;Krankheiten des Urogenitalsystems;8408;11259;19667
2011;Krankheiten der Niere;6818;8879;15697
2011;Schwangerschaft, Geburt und Wochenbett;-;32;32
2011;Best.Zustände mit Ursprung in der Perinatalperiode;697;547;1244
2011;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;859;760;1619
2011;Angeborene Fehlbildungen des Nervensystems;87;84;171
2011;Angeborene Fehlbildungen des Kreislaufsystems;259;224;483
2011;Symptome und abnorme klinische und Laborbefunde;12332;10218;22550
2011;Plötzlicher Kindstod;94;53;147
2011;Sonst. ungenau bezeichnete u. unbek. Todesursachen;10807;6856;17663
2011;Äußere Ursachen von Morbidität und Mortalität;20224;12764;32988
2011;Unfälle einschließlich Spätfolgen;11176;9279;20455
2011;Transportmittelunfälle;3218;1118;4336
2011;Stürze;4445;5277;9722
2011;Ertrinken und Untergehen;269;101;370
2011;Exposition gegenüber Rauch, Feuer und Flammen;215;161;376
2011;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);470;167;637
2011;Vorsätzliche Selbstbeschädigung;7646;2498;10144
2011;Tätlicher Angriff;232;199;431
2011;Ereignis, dessen nähere Umstände unbestimmt sind;1137;775;1912
2011;Insgesamt;407628;444700;852328
2012;Bestimmte infektiöse und parasitäre Krankheiten;8121;10232;18353
2012;Tuberkulose einschließlich ihrer Folgezustände;213;143;356
2012;Meningokokkeninfektion;10;20;30
2012;Virushepatitis;503;473;976
2012;HIV-Krankheit;334;76;410
2012;Neubildungen;123207;105082;228289
2012;Bösartige Neubildungen (BN);120080;101531;221611
2012;BN der Lippe, der Mundhöhle und des Pharynx;4090;1303;5393
2012;BN des Ösophagus;4072;1188;5260
2012;BN des Magens;5770;4208;9978
2012;BN des Dickdarms;8724;8495;17219
2012;BN des Rektums, des Anus und am Rektosigmoid;4745;3472;8217
2012;BN der Leber, der Gallenwege und des Pankreas;14468;12859;27327
2012;BN der Leber und der intrahepatischen Gallengänge;5117;2553;7670
2012;BN des Pankreas;7936;8184;16120
2012;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;30978;14930;45908
2012;BN der Bronchien und der Lunge;29695;14738;44433
2012;Melanom und sonstige bösartige Neubild. der Haut;1990;1573;3563
2012;Bösartiges Melanom der Haut;1627;1248;2875
2012;BN der Brustdrüse;150;17748;17898
2012;BN der Genital- und Harnorgane;22520;16057;38577
2012;BN der Cervix uteri;-;1617;1617
2012;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2515;2515
2012;BN des Ovars;-;5646;5646
2012;BN der Prostata;12957;-;12957
2012;BN der Niere, ausgenommen Nierenbecken;3125;2131;5256
2012;BN der Harnblase;3791;1826;5617
2012;BN d. lymphat., blutbild. u. verwandten Gewebes;9765;8454;18219
2012;Leukämie;4155;3445;7600
2012;Gutartige Neubildungen;240;396;636
2012;Krankheiten des Blutes u. der blutbildenden Organe;1108;1577;2685
2012;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;12745;17860;30605
2012;Diabetes mellitus;10077;13978;24055
2012;Psychische und Verhaltensstörungen;12186;18704;30890
2012;Psychische und Verhaltensstörungen durch Alkohol;3916;1075;4991
2012;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;617;167;784
2012;Krankheiten d. Nervensystems u. d. Sinnesorgane;11750;12537;24287
2012;Meningitis;68;76;144
2012;Krankheiten des Kreislaufsystems;150149;199068;349217
2012;Hypertonie (Hochdruckkrankheit);10778;25212;35990
2012;Ischämische Herzkrankheiten;66294;61877;128171
2012;Akuter oder rezidivierender Myokardinfarkt;30894;24531;55425
2012;Sonstige Formen der Herzkrankheit;31117;49938;81055
2012;Sonstige Krankheiten des Endokards;4653;7423;12076
2012;Zerebrovaskuläre Krankheiten;23286;35639;58925
2012;Schlaganfall, nicht als Blutung oder Infarkt bez.;7492;12895;20387
2012;Krankheiten der Arterien, Arteriolen und Kapillare;8433;10426;18859
2012;Krankheiten des Atmungssystems;32229;28225;60454
2012;Grippe;35;37;72
2012;Pneumonie;9207;9610;18817
2012;Chronische Krankheiten der unteren Atemwege;16675;12996;29671
2012;Asthma;467;697;1164
2012;COVID-19, Virus nachgewiesen;-;-;-
2012;COVID-19, Virus nicht nachgewiesen;-;-;-
2012;Krankheiten des Verdauungssystems;20448;19646;40094
2012;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1265;1511;2776
2012;Krankheiten der Leber;9926;5036;14962
2012;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;9384;4517;13901
2012;Krankheiten der Haut und der Unterhaut;406;789;1195
2012;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;1150;2149;3299
2012;Chronische Polyarthritis und Arthrose;250;609;859
2012;Krankheiten des Urogenitalsystems;8793;11743;20536
2012;Krankheiten der Niere;6951;9200;16151
2012;Schwangerschaft, Geburt und Wochenbett;-;31;31
2012;Best.Zustände mit Ursprung in der Perinatalperiode;619;546;1165
2012;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;842;690;1532
2012;Angeborene Fehlbildungen des Nervensystems;82;63;145
2012;Angeborene Fehlbildungen des Kreislaufsystems;231;192;423
2012;Symptome und abnorme klinische und Laborbefunde;12890;11129;24019
2012;Plötzlicher Kindstod;78;53;131
2012;Sonst. ungenau bezeichnete u. unbek. Todesursachen;11228;7412;18640
2012;Äußere Ursachen von Morbidität und Mortalität;19780;13151;32931
2012;Unfälle einschließlich Spätfolgen;11255;9614;20869
2012;Transportmittelunfälle;2934;1045;3979
2012;Stürze;4689;5551;10240
2012;Ertrinken und Untergehen;297;120;417
2012;Exposition gegenüber Rauch, Feuer und Flammen;211;173;384
2012;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);418;181;599
2012;Vorsätzliche Selbstbeschädigung;7287;2603;9890
2012;Tätlicher Angriff;204;199;403
2012;Ereignis, dessen nähere Umstände unbestimmt sind;1002;721;1723
2012;Insgesamt;416423;453159;869582
2013;Bestimmte infektiöse und parasitäre Krankheiten;8357;10123;18480
2013;Tuberkulose einschließlich ihrer Folgezustände;220;146;366
2013;Meningokokkeninfektion;15;18;33
2013;Virushepatitis;529;462;991
2013;HIV-Krankheit;335;66;401
2013;Neubildungen;125054;105786;230840
2013;Bösartige Neubildungen (BN);121748;102094;223842
2013;BN der Lippe, der Mundhöhle und des Pharynx;4084;1389;5473
2013;BN des Ösophagus;4244;1192;5436
2013;BN des Magens;5591;4031;9622
2013;BN des Dickdarms;8658;8450;17108
2013;BN des Rektums, des Anus und am Rektosigmoid;4629;3412;8041
2013;BN der Leber, der Gallenwege und des Pankreas;14762;12881;27643
2013;BN der Leber und der intrahepatischen Gallengänge;5000;2467;7467
2013;BN des Pankreas;8273;8328;16601
2013;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;30962;15370;46332
2013;BN der Bronchien und der Lunge;29684;15129;44813
2013;Melanom und sonstige bösartige Neubild. der Haut;2221;1570;3791
2013;Bösartiges Melanom der Haut;1787;1255;3042
2013;BN der Brustdrüse;156;17853;18009
2013;BN der Genital- und Harnorgane;23462;16003;39465
2013;BN der Cervix uteri;-;1550;1550
2013;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2579;2579
2013;BN des Ovars;-;5466;5466
2013;BN der Prostata;13408;-;13408
2013;BN der Niere, ausgenommen Nierenbecken;3358;2100;5458
2013;BN der Harnblase;3894;1863;5757
2013;BN d. lymphat., blutbild. u. verwandten Gewebes;10255;8576;18831
2013;Leukämie;4395;3560;7955
2013;Gutartige Neubildungen;243;358;601
2013;Krankheiten des Blutes u. der blutbildenden Organe;1205;1711;2916
2013;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;13347;17850;31197
2013;Diabetes mellitus;10484;13773;24257
2013;Psychische und Verhaltensstörungen;14241;21876;36117
2013;Psychische und Verhaltensstörungen durch Alkohol;4218;1255;5473
2013;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;642;149;791
2013;Krankheiten d. Nervensystems u. d. Sinnesorgane;12488;13304;25792
2013;Meningitis;69;71;140
2013;Krankheiten des Kreislaufsystems;153309;201184;354493
2013;Hypertonie (Hochdruckkrankheit);11902;27743;39645
2013;Ischämische Herzkrankheiten;67175;61633;128808
2013;Akuter oder rezidivierender Myokardinfarkt;30622;23916;54538
2013;Sonstige Formen der Herzkrankheit;31969;49642;81611
2013;Sonstige Krankheiten des Endokards;5073;7938;13011
2013;Zerebrovaskuläre Krankheiten;23167;35389;58556
2013;Schlaganfall, nicht als Blutung oder Infarkt bez.;6805;12078;18883
2013;Krankheiten der Arterien, Arteriolen und Kapillare;8391;10113;18504
2013;Krankheiten des Atmungssystems;34431;30487;64918
2013;Grippe;220;227;447
2013;Pneumonie;9824;10094;19918
2013;Chronische Krankheiten der unteren Atemwege;17795;14304;32099
2013;Asthma;441;709;1150
2013;COVID-19, Virus nachgewiesen;-;-;-
2013;COVID-19, Virus nicht nachgewiesen;-;-;-
2013;Krankheiten des Verdauungssystems;20564;19548;40112
2013;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1162;1431;2593
2013;Krankheiten der Leber;9950;5305;15255
2013;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;9334;4700;14034
2013;Krankheiten der Haut und der Unterhaut;453;921;1374
2013;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;1270;2254;3524
2013;Chronische Polyarthritis und Arthrose;290;586;876
2013;Krankheiten des Urogenitalsystems;9463;12425;21888
2013;Krankheiten der Niere;7280;9469;16749
2013;Schwangerschaft, Geburt und Wochenbett;-;29;29
2013;Best.Zustände mit Ursprung in der Perinatalperiode;635;482;1117
2013;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;887;819;1706
2013;Angeborene Fehlbildungen des Nervensystems;82;83;165
2013;Angeborene Fehlbildungen des Kreislaufsystems;268;223;491
2013;Symptome und abnorme klinische und Laborbefunde;13518;11671;25189
2013;Plötzlicher Kindstod;84;68;152
2013;Sonst. ungenau bezeichnete u. unbek. Todesursachen;11774;7787;19561
2013;Äußere Ursachen von Morbidität und Mortalität;20423;13710;34133
2013;Unfälle einschließlich Spätfolgen;11844;10172;22016
2013;Transportmittelunfälle;2789;982;3771
2013;Stürze;4972;5870;10842
2013;Ertrinken und Untergehen;335;130;465
2013;Exposition gegenüber Rauch, Feuer und Flammen;241;174;415
2013;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);478;172;650
2013;Vorsätzliche Selbstbeschädigung;7449;2627;10076
2013;Tätlicher Angriff;180;214;394
2013;Ereignis, dessen nähere Umstände unbestimmt sind;922;684;1606
2013;Insgesamt;429645;464180;893825
2014;Bestimmte infektiöse und parasitäre Krankheiten;8350;9637;17987
2014;Tuberkulose einschließlich ihrer Folgezustände;169;141;310
2014;Meningokokkeninfektion;11;19;30
2014;Virushepatitis;448;406;854
2014;HIV-Krankheit;305;83;388
2014;Neubildungen;125120;105651;230771
2014;Bösartige Neubildungen (BN);121766;101992;223758
2014;BN der Lippe, der Mundhöhle und des Pharynx;4095;1353;5448
2014;BN des Ösophagus;4107;1236;5343
2014;BN des Magens;5545;4065;9610
2014;BN des Dickdarms;8578;8321;16899
2014;BN des Rektums, des Anus und am Rektosigmoid;4695;3397;8092
2014;BN der Leber, der Gallenwege und des Pankreas;15021;13023;28044
2014;BN der Leber und der intrahepatischen Gallengänge;5246;2440;7686
2014;BN des Pankreas;8231;8384;16615
2014;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;30861;15748;46609
2014;BN der Bronchien und der Lunge;29536;15513;45049
2014;Melanom und sonstige bösartige Neubild. der Haut;2239;1621;3860
2014;Bösartiges Melanom der Haut;1804;1270;3074
2014;BN der Brustdrüse;134;17670;17804
2014;BN der Genital- und Harnorgane;23778;15660;39438
2014;BN der Cervix uteri;-;1506;1506
2014;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2472;2472
2014;BN des Ovars;-;5354;5354
2014;BN der Prostata;13704;-;13704
2014;BN der Niere, ausgenommen Nierenbecken;3243;2035;5278
2014;BN der Harnblase;3897;1795;5692
2014;BN d. lymphat., blutbild. u. verwandten Gewebes;10009;8600;18609
2014;Leukämie;4168;3575;7743
2014;Gutartige Neubildungen;267;363;630
2014;Krankheiten des Blutes u. der blutbildenden Organe;1198;1733;2931
2014;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;12646;16624;29270
2014;Diabetes mellitus;9941;12702;22643
2014;Psychische und Verhaltensstörungen;13974;21961;35935
2014;Psychische und Verhaltensstörungen durch Alkohol;3922;1192;5114
2014;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;648;171;819
2014;Krankheiten d. Nervensystems u. d. Sinnesorgane;12650;13238;25888
2014;Meningitis;64;60;124
2014;Krankheiten des Kreislaufsystems;148538;189518;338056
2014;Hypertonie (Hochdruckkrankheit);11316;25872;37188
2014;Ischämische Herzkrankheiten;64467;56699;121166
2014;Akuter oder rezidivierender Myokardinfarkt;28503;21601;50104
2014;Sonstige Formen der Herzkrankheit;31761;47946;79707
2014;Sonstige Krankheiten des Endokards;5164;7801;12965
2014;Zerebrovaskuläre Krankheiten;22012;33220;55232
2014;Schlaganfall, nicht als Blutung oder Infarkt bez.;6132;10621;16753
2014;Krankheiten der Arterien, Arteriolen und Kapillare;8256;9621;17877
2014;Krankheiten des Atmungssystems;31744;26860;58604
2014;Grippe;40;39;79
2014;Pneumonie;8474;8237;16711
2014;Chronische Krankheiten der unteren Atemwege;16889;13109;29998
2014;Asthma;415;599;1014
2014;COVID-19, Virus nachgewiesen;-;-;-
2014;COVID-19, Virus nicht nachgewiesen;-;-;-
2014;Krankheiten des Verdauungssystems;19993;18544;38537
2014;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1037;1216;2253
2014;Krankheiten der Leber;9590;5154;14744
2014;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;8973;4554;13527
2014;Krankheiten der Haut und der Unterhaut;511;905;1416
2014;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;1175;2142;3317
2014;Chronische Polyarthritis und Arthrose;262;568;830
2014;Krankheiten des Urogenitalsystems;9779;12468;22247
2014;Krankheiten der Niere;7441;9366;16807
2014;Schwangerschaft, Geburt und Wochenbett;-;29;29
2014;Best.Zustände mit Ursprung in der Perinatalperiode;706;531;1237
2014;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;866;799;1665
2014;Angeborene Fehlbildungen des Nervensystems;66;64;130
2014;Angeborene Fehlbildungen des Kreislaufsystems;222;199;421
2014;Symptome und abnorme klinische und Laborbefunde;14130;11669;25799
2014;Plötzlicher Kindstod;75;44;119
2014;Sonst. ungenau bezeichnete u. unbek. Todesursachen;12551;8269;20820
2014;Äußere Ursachen von Morbidität und Mortalität;20845;13822;34667
2014;Unfälle einschließlich Spätfolgen;12240;10536;22776
2014;Transportmittelunfälle;2796;927;3723
2014;Stürze;5363;6219;11582
2014;Ertrinken und Untergehen;287;102;389
2014;Exposition gegenüber Rauch, Feuer und Flammen;214;133;347
2014;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);476;176;652
2014;Vorsätzliche Selbstbeschädigung;7624;2585;10209
2014;Tätlicher Angriff;174;194;368
2014;Ereignis, dessen nähere Umstände unbestimmt sind;788;490;1278
2014;Insgesamt;422225;446131;868356
2015;Bestimmte infektiöse und parasitäre Krankheiten;9271;10672;19943
2015;Tuberkulose einschließlich ihrer Folgezustände;189;122;311
2015;Meningokokkeninfektion;16;16;32
2015;Virushepatitis;528;411;939
2015;HIV-Krankheit;306;65;371
2015;Neubildungen;126407;107345;233752
2015;Bösartige Neubildungen (BN);122916;103421;226337
2015;BN der Lippe, der Mundhöhle und des Pharynx;4086;1378;5464
2015;BN des Ösophagus;4269;1238;5507
2015;BN des Magens;5429;3829;9258
2015;BN des Dickdarms;8548;8124;16672
2015;BN des Rektums, des Anus und am Rektosigmoid;4801;3372;8173
2015;BN der Leber, der Gallenwege und des Pankreas;15339;13360;28699
2015;BN der Leber und der intrahepatischen Gallengänge;5231;2611;7842
2015;BN des Pankreas;8497;8659;17156
2015;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;30669;16086;46755
2015;BN der Bronchien und der Lunge;29354;15870;45224
2015;Melanom und sonstige bösartige Neubild. der Haut;2231;1637;3868
2015;Bösartiges Melanom der Haut;1767;1287;3054
2015;BN der Brustdrüse;159;18136;18295
2015;BN der Genital- und Harnorgane;24181;16149;40330
2015;BN der Cervix uteri;-;1541;1541
2015;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2602;2602
2015;BN des Ovars;-;5431;5431
2015;BN der Prostata;13900;-;13900
2015;BN der Niere, ausgenommen Nierenbecken;3306;2106;5412
2015;BN der Harnblase;3963;1872;5835
2015;BN d. lymphat., blutbild. u. verwandten Gewebes;10266;8660;18926
2015;Leukämie;4290;3579;7869
2015;Gutartige Neubildungen;277;385;662
2015;Krankheiten des Blutes u. der blutbildenden Organe;1432;1903;3335
2015;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;14084;18390;32474
2015;Diabetes mellitus;10872;13529;24401
2015;Psychische und Verhaltensstörungen;17263;27327;44590
2015;Psychische und Verhaltensstörungen durch Alkohol;4231;1259;5490
2015;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;716;173;889
2015;Krankheiten d. Nervensystems u. d. Sinnesorgane;14385;14756;29141
2015;Meningitis;70;62;132
2015;Krankheiten des Kreislaufsystems;157996;198620;356616
2015;Hypertonie (Hochdruckkrankheit);12925;28847;41772
2015;Ischämische Herzkrankheiten;68464;59766;128230
2015;Akuter oder rezidivierender Myokardinfarkt;29016;21932;50948
2015;Sonstige Formen der Herzkrankheit;34871;51201;86072
2015;Sonstige Krankheiten des Endokards;5404;8175;13579
2015;Zerebrovaskuläre Krankheiten;23398;33584;56982
2015;Schlaganfall, nicht als Blutung oder Infarkt bez.;5950;9820;15770
2015;Krankheiten der Arterien, Arteriolen und Kapillare;7011;8221;15232
2015;Krankheiten des Atmungssystems;36600;31700;68300
2015;Grippe;343;357;700
2015;Pneumonie;10216;9958;20174
2015;Chronische Krankheiten der unteren Atemwege;19014;15396;34410
2015;Asthma;394;659;1053
2015;COVID-19, Virus nachgewiesen;-;-;-
2015;COVID-19, Virus nicht nachgewiesen;-;-;-
2015;Krankheiten des Verdauungssystems;20689;19155;39844
2015;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1123;1313;2436
2015;Krankheiten der Leber;9964;5226;15190
2015;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;9304;4585;13889
2015;Krankheiten der Haut und der Unterhaut;546;896;1442
2015;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;1366;2405;3771
2015;Chronische Polyarthritis und Arthrose;330;662;992
2015;Krankheiten des Urogenitalsystems;10864;14035;24899
2015;Krankheiten der Niere;8350;10698;19048
2015;Schwangerschaft, Geburt und Wochenbett;-;24;24
2015;Best.Zustände mit Ursprung in der Perinatalperiode;709;611;1320
2015;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;931;885;1816
2015;Angeborene Fehlbildungen des Nervensystems;94;79;173
2015;Angeborene Fehlbildungen des Kreislaufsystems;225;231;456
2015;Symptome und abnorme klinische und Laborbefunde;15378;12059;27437
2015;Plötzlicher Kindstod;67;60;127
2015;Sonst. ungenau bezeichnete u. unbek. Todesursachen;13723;8562;22285
2015;Äußere Ursachen von Morbidität und Mortalität;21591;14905;36496
2015;Unfälle einschließlich Spätfolgen;13140;11506;24646
2015;Transportmittelunfälle;2758;930;3688
2015;Stürze;6027;6840;12867
2015;Ertrinken und Untergehen;316;128;444
2015;Exposition gegenüber Rauch, Feuer und Flammen;206;137;343
2015;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);510;190;700
2015;Vorsätzliche Selbstbeschädigung;7397;2681;10078
2015;Tätlicher Angriff;214;219;433
2015;Ereignis, dessen nähere Umstände unbestimmt sind;819;494;1313
2015;Insgesamt;449512;475688;925200
2016;Bestimmte infektiöse und parasitäre Krankheiten;8005;8994;16999
2016;Tuberkulose einschließlich ihrer Folgezustände;182;103;285
2016;Meningokokkeninfektion;11;12;23
2016;Virushepatitis;442;347;789
2016;HIV-Krankheit;284;59;343
2016;Neubildungen;128826;109570;238396
2016;Bösartige Neubildungen (BN);125128;105597;230725
2016;BN der Lippe, der Mundhöhle und des Pharynx;4070;1387;5457
2016;BN des Ösophagus;4434;1245;5679
2016;BN des Magens;5370;3861;9231
2016;BN des Dickdarms;8539;8102;16641
2016;BN des Rektums, des Anus und am Rektosigmoid;4760;3362;8122
2016;BN der Leber, der Gallenwege und des Pankreas;15981;13782;29763
2016;BN der Leber und der intrahepatischen Gallengänge;5411;2625;8036
2016;BN des Pankreas;9008;9044;18052
2016;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;30571;16708;47279
2016;BN der Bronchien und der Lunge;29305;16471;45776
2016;Melanom und sonstige bösartige Neubild. der Haut;2220;1604;3824
2016;Bösartiges Melanom der Haut;1700;1226;2926
2016;BN der Brustdrüse;166;18570;18736
2016;BN der Genital- und Harnorgane;25024;16280;41304
2016;BN der Cervix uteri;-;1562;1562
2016;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2600;2600
2016;BN des Ovars;-;5486;5486
2016;BN der Prostata;14417;-;14417
2016;BN der Niere, ausgenommen Nierenbecken;3280;2074;5354
2016;BN der Harnblase;4049;1897;5946
2016;BN d. lymphat., blutbild. u. verwandten Gewebes;10700;9021;19721
2016;Leukämie;4542;3710;8252
2016;Gutartige Neubildungen;309;446;755
2016;Krankheiten des Blutes u. der blutbildenden Organe;1367;1851;3218
2016;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;13839;17410;31249
2016;Diabetes mellitus;10454;12605;23059
2016;Psychische und Verhaltensstörungen;18065;28193;46258
2016;Psychische und Verhaltensstörungen durch Alkohol;4309;1143;5452
2016;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;670;178;848
2016;Krankheiten d. Nervensystems u. d. Sinnesorgane;14824;14975;29799
2016;Meningitis;78;59;137
2016;Krankheiten des Kreislaufsystems;152820;185867;338687
2016;Hypertonie (Hochdruckkrankheit);12782;27853;40635
2016;Ischämische Herzkrankheiten;66789;55485;122274
2016;Akuter oder rezidivierender Myokardinfarkt;28130;20539;48669
2016;Sonstige Formen der Herzkrankheit;31731;45501;77232
2016;Sonstige Krankheiten des Endokards;5490;8066;13556
2016;Zerebrovaskuläre Krankheiten;23263;32693;55956
2016;Schlaganfall, nicht als Blutung oder Infarkt bez.;5286;8978;14264
2016;Krankheiten der Arterien, Arteriolen und Kapillare;6991;7637;14628
2016;Krankheiten des Atmungssystems;34905;29509;64414
2016;Grippe;228;182;410
2016;Pneumonie;9539;9166;18705
2016;Chronische Krankheiten der unteren Atemwege;18264;14687;32951
2016;Asthma;342;625;967
2016;COVID-19, Virus nachgewiesen;-;-;-
2016;COVID-19, Virus nicht nachgewiesen;-;-;-
2016;Krankheiten des Verdauungssystems;21422;19251;40673
2016;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1135;1276;2411
2016;Krankheiten der Leber;10433;5430;15863
